evidence_record_id,study_reference_id,within_study_evidence_no,author_year,title,evidence_location,evidence_source_original,evidence_source_category,pathway_level_1_original,pathway_level_1_category,pathway_level_2_original,pathway_level_2_corrected_original,climate_factor_original,pathogen,amr_outcome_original,mechanism_chain_original,original_quote,evidence_type_original,evidence_type_category,mechanism_support_original,mechanism_support_category,effect_direction_original,effect_direction_category,time_scale_original,time_scale_category,spatial_context_original,spatial_context_category,extraction_date
EVID_034-M2,34,2,Maugeri (2023),Socioeconomic and Governance Factors Disentangle the Relationship between Temperature and Antimicrobial Resistance: A 10-Year Ecological Analysis of European Countries,Discussion-p.9-para.2,3-Discussion数据解释,Discussion interpretation,2-环境介导,Environment-mediated pathways,2b-抗生素残留,2b-抗生素残留,温度-年均温升高,未特指（泛指细菌）,耐药率上升（推测）,温度升高→抗生素抗菌活性/摄取与化学反应速率改变→选择压力改变→耐药率↑,"First of all, the antimicrobial activity of certain antibiotics could be influenced by the temperature, either by enhancing their uptake or increasing rates of chemical catalysis [35]. (p.9)",5-理论推测,Theoretical/projection,3-理论推测,Theoretical support,正向（推测）,Promoting AMR,4-未明确/理论,Conceptual or unclear,5-未明确/理论,Mixed or unspecified,2026-01-04
EVID_034-M3,34,3,Maugeri (2023),Socioeconomic and Governance Factors Disentangle the Relationship between Temperature and Antimicrobial Resistance: A 10-Year Ecological Analysis of European Countries,Discussion-p.9-para.2,3-Discussion数据解释,Discussion interpretation,1-直接生物学效应,Direct biological mechanisms,1a-生长代谢,1a-生长代谢,温度-年均温升高,未特指（泛指细菌）,耐药率上升；传播风险↑（推测）,温度升高→细菌生长速率↑→传播增强+在抗生素压力下选择增强→AMR获得/传播↑,"The impact of temperature on the acquisition and transmission of AMR is a matter of concern: on the one hand, warmer temperatures may accelerate bacterial growth, facilitating overall transmission and selection through antibiotic pressure [34]. (p.9)",5-理论推测,Theoretical/projection,4-文献综述总结,Review-based support,正向（推测）,Promoting AMR,4-未明确/理论,Conceptual or unclear,5-未明确/理论,Mixed or unspecified,2026-01-04
EVID_034-M4,34,4,Maugeri (2023),Socioeconomic and Governance Factors Disentangle the Relationship between Temperature and Antimicrobial Resistance: A 10-Year Ecological Analysis of European Countries,Discussion-p.9-para.2,3-Discussion数据解释,Discussion interpretation,1-直接生物学效应,Direct biological mechanisms,1h-其他直接生物学,1c-水平基因转移,温度-年均温升高,未特指（泛指细菌）,HGT相关：耐药基因获得/传播↑（推测）,温度升高→HGT效率/机会改变→ARG获得与传播↑→耐药率↑,"The impact of temperature on the acquisition and transmission of AMR is a matter of concern: on the one hand, warmer temperatures may accelerate bacterial growth, facilitating overall transmission and selection through antibiotic pressure [34]; on the other hand, the temperature may influence horizontal gene transfer, including that relating to antibiotic resistance genes [39]. (p.9)",5-理论推测,Theoretical/projection,4-文献综述总结,Review-based support,正向（推测）,Promoting AMR,4-未明确/理论,Conceptual or unclear,5-未明确/理论,Mixed or unspecified,2026-01-04
EVID_034-M5,34,5,Maugeri (2023),Socioeconomic and Governance Factors Disentangle the Relationship between Temperature and Antimicrobial Resistance: A 10-Year Ecological Analysis of European Countries,Discussion-p.9-para.2,3-Discussion数据解释,Discussion interpretation,4-宿主易感性,Host susceptibility pathways,4e-其他宿主机制,可删除,温度-年均温升高,抗生素耐药病原体（humans/animals carriage）,耐药菌定植率上升（推测）,温度升高→（宿主携带/定植增加，过程未展开）→耐药病原携带率↑→传播风险↑,It is also worth mentioning that the warming of the climate may increase the carriage of antibiotic-resistant pathogens in humans and animals [42]. (p.9),5-理论推测,Theoretical/projection,4-文献综述总结,Review-based support,正向（推测）,Promoting AMR,4-未明确/理论,Conceptual or unclear,5-未明确/理论,Mixed or unspecified,2026-01-04
EVID_034-M6,34,6,Maugeri (2023),Socioeconomic and Governance Factors Disentangle the Relationship between Temperature and Antimicrobial Resistance: A 10-Year Ecological Analysis of European Countries,Discussion-p.9-para.2,3-Discussion数据解释,Discussion interpretation,2-环境介导,Environment-mediated pathways,2f-其他环境介导,2a-微生物群落,温度-年均温升高,未特指（环境微生物群）,耐药基因多样性增加（推测）,温度升高→（环境抗性组更丰富/多样，过程未展开）→ARG多样性↑,"It is also worth mentioning that the warming of the climate may increase the carriage of antibiotic-resistant pathogens in humans and animals [42], as well as the diversity of antibiotic resistance genes in the environment [37]. (p.9)",5-理论推测,Theoretical/projection,4-文献综述总结,Review-based support,正向（推测）,Promoting AMR,4-未明确/理论,Conceptual or unclear,2-自然环境,Natural environment,2026-01-04
EVID_035-M1,35,1,Rahbe (2023),Determinants of worldwide antibiotic resistance dynamics across drug-bacterium pairs: a multivariable spatial-temporal analysis using ATLAS, Introduction-p.1-para.2,6-综述整合,Review synthesis,1-直接生物学效应,Direct biological mechanisms,1h-其他直接生物学,1a-生长代谢；1c-水平基因转移,温度-年均温升高（气候变暖）,细菌（泛指）,耐药率上升（ABR传播/维持↑，推测）,温度升高→细菌生长↑/HGT↑→ABR传播与维持↑,"In addition, climate warming has been suggested to be associated with ABR dissemination and maintenance, hypothesising that higher temperatures promote bacterial growth and more frequent horizontal gene transfer.7–9 (p.1)",4-文献综述,Review-based,3-理论推测,Theoretical support,正向（推测）,Promoting AMR,概念性机制（非本研究数据）,Conceptual or unclear,全球（引言框架）,Mixed or unspecified,2026-01-04
EVID_035-M2,35,2,Rahbe (2023),Determinants of worldwide antibiotic resistance dynamics across drug-bacterium pairs: a multivariable spatial-temporal analysis using ATLAS,Discussion-p.8-para.4,2-Results+Discussion整合,Results and discussion integration,1-直接生物学效应,Direct biological mechanisms,1h-其他直接生物学,可删除,温度-年均温升高（更暖）,Enterobacteriaceae（E coli；K pneumoniae）,耐药率上升（ABR rates↑）,温度升高→（未明确中介过程）→Enterobacteriaceae耐药率↑,Warm temperatures were found to be significantly associated with ABR rates only for Enterobacteriaceae (E coli and K pneumoniae) in the multivariable analysis (appendix 2; figure 3). (p.8),2-观察性数据,Observational,2-间接数据支持,Indirect empirical support,正向（观测到显著关联）,Promoting AMR,时空面板（2006–2019，51国）,Observational cumulative/seasonal,全球（多国临床分离株/ATLAS数据库）,Mixed or unspecified,2026-01-04
EVID_035-M3,35,3,Rahbe (2023),Determinants of worldwide antibiotic resistance dynamics across drug-bacterium pairs: a multivariable spatial-temporal analysis using ATLAS,Discussion-p.8-para.4,2-Results+Discussion整合,Results and discussion integration,2-环境介导,Environment-mediated pathways,2f-其他环境介导,可删除,其他-极端天气事件,E coli；S pneumoniae,耐药率上升（ABR rates↑）,极端天气事件→（未明确具体中介过程）→E coli/S pneumoniae耐药率↑,Extreme climatic events were only positively associated in E coli and S pneumoniae pairs. (p.8),2-观察性数据,Observational,2-间接数据支持,Indirect empirical support,正向（观测到显著关联）,Promoting AMR,时空面板（2006–2019，51国）,Observational cumulative/seasonal,全球（多国临床分离株/ATLAS数据库）,Mixed or unspecified,2026-01-04
EVID_035-M4,35,4,Rahbe (2023),Determinants of worldwide antibiotic resistance dynamics across drug-bacterium pairs: a multivariable spatial-temporal analysis using ATLAS,Discussion-p.8-para.4,4-Discussion理论推测,Discussion theoretical interpretation,2-环境介导,Environment-mediated pathways,2c-基础设施破坏,2c-水文条件,降水-极端降雨（洪水/灾害）,细菌（泛指；与E coli/S pneumoniae相关）,耐药率上升（ABR rates↑）,极端降雨/洪水→灾害暴露/环境扰动→ABR率↑,"This association suggests that natural disasters, such as flooding, rather than rainfall itself, potentially contribute to high ABR rates. (p.8)",5-理论推测,Theoretical/projection,3-理论推测,Theoretical support,正向（推测）,Promoting AMR,概念性解释（基于本研究关联结果）,Conceptual or unclear,全球（讨论解释）,Mixed or unspecified,2026-01-04
EVID_035-M5,35,5,Rahbe (2023),Determinants of worldwide antibiotic resistance dynamics across drug-bacterium pairs: a multivariable spatial-temporal analysis using ATLAS,Discussion-p.8-para.4,4-Discussion理论推测,Discussion theoretical interpretation,2-环境介导,Environment-mediated pathways,2c-基础设施破坏,2c-水文条件,其他-极端天气事件（飓风/自然灾害）,细菌（泛指）,临床感染率上升；耐药基因丰度增加（灾后水体ARG↑）,极端天气事件→（灾后环境/水体污染与暴露↑）→耐药感染/水体ARG↑,"Increased numbers of infections with ABR bacteria in people exposed to natural disasters or unprecedented levels of ABR genes in water following hurricanes have been reported in the literature.27,28 (p.8)",4-文献综述,Review-based,4-文献综述总结,Review-based support,正向（文献报告）,Promoting AMR,事件尺度（灾害发生后）,Event-based,自然灾害暴露人群/灾后水体（讨论引用外部研究）,Other/unclear,2026-01-04
EVID_036-M1,36,1,Song (2023),Regional distribution and migration potential of antibiotic resistance genes in croplands of Qinghai Tibet Plateau,Introduction-p.2-para.2,6-综述整合,Review synthesis,1-直接生物学效应,Direct biological mechanisms,1c-HGT质粒接合,1c-水平基因转移,复合-温暖潮湿条件,ARGs,ARGs的传播增加,年平均温度(MAT)和降雨量(MAP)→更温暖和更潮湿的条件→抗生素和ARGs的传播增加,"Mean annual temperature (MAT) and precipitation (MAP) have an influence on native soil characteristics and the dissemination of antibiotics and ARGs (Bahram et al., 2018). This results from the increased degradability of residual antibiotics and ARGs under
warmer and wetter conditions (Engemann et al., 2008). ",4-文献综述,Review-based,4-文献综述总结,Review-based support,1-促进AMR,Promoting AMR,4-未明确,Conceptual or unclear,2-自然环境,Natural environment,2026-01-04
EVID_036-M1,36,1,Song (2023),Regional distribution and migration potential of antibiotic resistance genes in croplands of Qinghai Tibet Plateau, Results-p.5-3.3para.1 (Fig.5),1-Results实验数据,Results,2-环境介导,Environment-mediated pathways,2d-水土理化性质,2d-水土理化性质,温度-年均温升高；降水-年降雨量增加,环境微生物（农田土壤）,耐药基因丰度降低（ARGs↓）,温度升高/年降雨量增加→土壤环境/理化条件变化→ARG丰度↓,"Environmental variables such as annual mean temperature and annual precipitation showed a significant negative correlation with ARGs (R2 = 0.32, P < 0.01; R2 = 0.16, P < 0.05) (Fig. 5cd). (p.5)",2-观察性数据,Observational,2-间接数据支持,Indirect empirical support,负向（显著相关）,Suppressing AMR,横断面（2020年6–8月采样）,Observational cumulative/seasonal,青藏高原农田土壤（大麦/小麦/玉米等）,Other/unclear,2026-01-04
EVID_036-M2,36,2,Song (2023),Regional distribution and migration potential of antibiotic resistance genes in croplands of Qinghai Tibet Plateau, Results-p.5-3.3para.1 (Fig.S2),1-Results实验数据,Results,2-环境介导,Environment-mediated pathways,2d-水土理化性质,2d-水土理化性质,温度-年均温升高；降水-年降雨量增加,环境微生物（农田土壤）,耐药基因丰度降低（特定ARG类↓）,温度升高/年降雨量增加→（环境条件不利于特定ARG类保留/累积）→β-lactamase/sulfonamide/multidrug/MLSB相关基因↓,"MAP and MAT had significant negative impacts on beta-lactamase, sulfonamide, multidrug, and MLSB resistance genes (Fig. S2). (p.5)",2-观察性数据,Observational,2-间接数据支持,Indirect empirical support,负向（显著影响）,Suppressing AMR,横断面（2020年6–8月采样）,Observational cumulative/seasonal,青藏高原农田土壤（不同作物类型）,Other/unclear,2026-01-04
EVID_036-M3,36,3,Song (2023),Regional distribution and migration potential of antibiotic resistance genes in croplands of Qinghai Tibet Plateau, Results-p.5-3.3para.1,1-Results实验数据,Results,2-环境介导,Environment-mediated pathways,2d-水土理化性质,2d-水土理化性质,温度-年均温升高；降水-年降雨量增加,环境微生物（农田土壤）,耐药基因丰度降低（ARG绝对丰度↓）,温度升高/年降雨量增加→土壤对ARG的保留↓→ARG绝对丰度↓,"The absolute abundance of ARGs gradually decreased with increasing MAP and MAT, showing that temperature and precipitation can affect the retention of ARGs in soil. (p.5)",2-观察性数据,Observational,2-间接数据支持,Indirect empirical support,负向（观测到下降）,Suppressing AMR,横断面（2020年6–8月采样）,Observational cumulative/seasonal,青藏高原农田土壤（作物耕地）,Other/unclear,2026-01-04
EVID_036-M4,36,4,Song (2023),Regional distribution and migration potential of antibiotic resistance genes in croplands of Qinghai Tibet Plateau,Discussion-p.8-4.2-para.1,3-Discussion数据解释,Discussion interpretation,2-环境介导,Environment-mediated pathways,2f-其他环境介导,2c-水文条件,降水-年降雨量增加,环境微生物（农田土壤）,耐药基因丰度降低（对土壤累积/保留↓，推断）,降水增加→土壤水文动力/冲刷迁移↑→ARG从土壤迁移→土壤ARG累积↓,Our results indicate that precipitation can promote the migration of ARGs from the soil rather than contributing to accumulation. (p.8),5-理论推测,Theoretical/projection,3-理论推测,Theoretical support,负向（对累积/保留）,Suppressing AMR,概念性解释（基于本研究结果）,Conceptual or unclear,青藏高原农田土壤（讨论解释）,Other/unclear,2026-01-04
EVID_036-M5,36,5,Song (2023),Regional distribution and migration potential of antibiotic resistance genes in croplands of Qinghai Tibet Plateau,Discussion-p.8-4.2-para.1,3-Discussion数据解释,Discussion interpretation,2-环境介导,Environment-mediated pathways,2b-抗生素残留,2b-抗生素残留,温度-年均温升高；湿度-升高（暖湿条件）,环境微生物（农田土壤/环境库）,耐药基因丰度降低（推断：降解增强）,温度升高+湿度升高→抗生素残留与ARG降解↑→ARG丰度↓,"As consistent with previous studies, the degradation of antibiotic residues and antibiotic resistance genes can be strengthened under warm and humid conditions (Zhou et al., 2017). (p.8)",5-理论推测,Theoretical/projection,3-理论推测,Theoretical support,负向（推测）,Suppressing AMR,概念性机制（外部证据）,Conceptual or unclear,环境土壤/水体（讨论引用外部研究）,Other/unclear,2026-01-04
EVID_036-M6,36,6,Song (2023),Regional distribution and migration potential of antibiotic resistance genes in croplands of Qinghai Tibet Plateau,Discussion-p.8-4.2-para.1,3-Discussion数据解释,Discussion interpretation,2-环境介导,Environment-mediated pathways,2a-微生物群落,2a-微生物群落,温度-年均温升高,环境微生物群落（农田土壤）,耐药基因丰度变化（shift）,温度变化→细菌群落结构变化→ARG丰度/组成变化,"Temperature can affect bacterial communities and further shift ARG abundance, and the annual mean temperature on the Qinghai-Tibet Plateau is no more than 15 °C. (p.8)",5-理论推测,Theoretical/projection,3-理论推测,Theoretical support,方向不明确（shift）,Uncertain,概念性机制（讨论）,Conceptual or unclear,青藏高原农田土壤（讨论）,Other/unclear,2026-01-04
EVID_037-M1,37,1,Yang (2023),Metagenomics reveals that temperature predicts a small proportion of antibiotic resistomes and mobile genetic elements in polluted water,Results-p.4-3.2para.1,1-Results实验数据,Results,1-直接生物学效应,Direct biological mechanisms,1h-其他直接生物学,可删除,温度-年均温升高,环境微生物群落,耐药基因多样性增加（下降）,温度升高→（未明示具体中介过程）→ARG多样性下降,"The diversity of ARGs and MGEs decreased significantly with tem perature (Fig. 1d, g). Specifically, ARG diversity was significantly lower in EG at 35 ◦C than at 32 ◦C (Mann-Whitney U test, P < 0.05),",1-实验室测量,Experimental,1-直接实验验证,Direct empirical support,2-抑制AMR,Suppressing AMR,1-实验瞬时,Experimental/short-term,1-实验室/体外,Laboratory/in vitro,2026-01-05
EVID_037-M2,37,2,Yang (2023),Metagenomics reveals that temperature predicts a small proportion of antibiotic resistomes and mobile genetic elements in polluted water,Results-p.4-3.5para.1,1-Results实验数据,Results,1-直接生物学效应,Direct biological mechanisms,1h-其他直接生物学,可删除,温度-年均温升高,"(carbapenem, dicyclomycin, and diaminopyrimidine antibiotic",耐药基因丰度增加,温度升高→促进与温度正相关的ARG亚型富集→耐药基因丰度增加（特定类型/亚型）,"Notably, we found the abundance changing trends of ARGs and MGEs with temperature (Fig. 3b). Three ARG types (carbapenem, dicyclomycin, and diaminopyrimidine antibiotic) showed a significant positive correlation with temperature (Fig. 3b)",1-实验室测量,Experimental,1-直接实验验证,Direct empirical support,1-促进AMR,Promoting AMR,1-实验瞬时,Experimental/short-term,1-实验室/体外,Laboratory/in vitro,2026-01-05
EVID_037-M3,37,3,Yang (2023),Metagenomics reveals that temperature predicts a small proportion of antibiotic resistomes and mobile genetic elements in polluted water,Discussion-p.8-para.1,4 Discussion理论推测,Discussion theoretical interpretation,2-环境介导,Environment-mediated pathways,1f-其他直接生物学效应（温度-群落/生长）,2a-微生物群落,温度（升高/气候变暖）,Environmental bacterial community,ARG多样性/谱系改变,温度升高→部分细菌不适应高温导致休眠/死亡、群落多样性下降→ARG多样性下降并引起ARG谱改变,"first, this may be because different microorganisms have their own optimal and narrow
temperature ranges (Arora and Kazmi, 2015). If the temperature exceeds the appropriate range, the bacterial community may stop growing (dormancy) and reproducing, or even die (Nedwell, 1999). Our results also showed that ARG diversity and bacterial diversity decreased with temperature, indicating that some bacteria may die because they are not
adapted to higher temperatures. Similar results were obtained fromprevious studies on the effect of soil ARG diversity by elevated tem-perature (Dunivin and Shade, 2018).",2 观察性数据,Observational,3 理论推测,Theoretical support,4 不确定,Uncertain,2 观察累积,Observational cumulative/seasonal,3 人造环境/污染水体（文段暗示）,Built or engineered environment,2026-01-05
EVID_037-M4,37,4,Yang (2023),Metagenomics reveals that temperature predicts a small proportion of antibiotic resistomes and mobile genetic elements in polluted water,Discussion-p.8-para.1,4 Discussion理论推测,Discussion theoretical interpretation,1 直接生物学效应,Direct biological mechanisms,1c-水平基因转移/移动遗传元件（MGE）,1c-水平基因转移,温度（升高/气候变暖）,Environmental bacteria (ARG hosts),ARG谱系改变,温度升高→MGE多样性下降、HGT经MGE转移受限且更偏向垂直传播→ARG谱改变,"Second, we found that temperature reduced MGE diversity. Although carrier MGEs may transfer genes, the resistance mechanism of the transferred ARG may be physiologically
incompatible with the new host, i.e., functional restriction. This may also make the new host acquire ARGs in a manner that prefers vertical transfer rather than horizontal gene transfer through MGEs.",2 观察性数据,Observational,3 理论推测,Theoretical support,4 不确定,Uncertain,2 观察累积,Observational cumulative/seasonal,3 人造环境/污染水体（文段暗示）,Built or engineered environment,2026-01-05
EVID_037-M5,37,5,Yang (2023),Metagenomics reveals that temperature predicts a small proportion of antibiotic resistomes and mobile genetic elements in polluted water,Discussion-p.8-para.1,4 Discussion理论推测,Discussion theoretical interpretation,2 环境介导,Environment-mediated pathways,2a-环境理化条件改变（pH/DO/TC/TN）,2a-微生物群落;2d-水土理化性质,温度（升高/气候变暖）,Environmental microbiome,微生物组/耐药组（resistome）结构改变,温度升高→改变pH、DO、TC、TN等环境条件并驱动微生物组结构变化→耐药组/ARG谱随之改变,"Third, temperature changed the environmental conditions in which microorganisms live (e.g., pH, DO, TC, and TN). These environmental factors may drive the structural changes in the microbiome and resistome (Yu et al., 2022b). This indicates that the changes in ARG profiles",2 观察性数据,Observational,3 理论推测,Theoretical support,4 不确定,Uncertain,2 观察累积,Observational cumulative/seasonal,3 人造环境/污染水体（文段暗示）,Built or engineered environment,2026-01-05
EVID_037-M6,37,6,Yang (2023),Metagenomics reveals that temperature predicts a small proportion of antibiotic resistomes and mobile genetic elements in polluted water,Discussion-p.9-para.2,3 Discussion数据解释,Discussion interpretation,1 直接生物学效应,Direct biological mechanisms,1a-宿主生长优势/选择（升温-特定耐药宿主）,1a-生长代谢,温度（升高/气候变暖）,Pseudomonas aeruginosa（推测宿主）,碳青霉烯耐药基因丰度增加,温度升高→碳青霉烯耐药ARG丰度随温度显著上升（38.3 TPM/°C）且可能与耐药宿主在较高温度下更适生有关→碳青霉烯耐药风险上升,"Notably, there were some sensitive ARGs that showed a significant abundance increase at elevated temperature, which provided the possibility of predicting trends under
future climate warming. For instance, the abundance of carbapenem resistance ARGs increased rapidly with temperature, with an increase of 38.3 TPM abundance/◦C. This may also be since Pseudomonas aeruginosa, a common carbapenem resistance host, is a mesophilic bacterium with an optimum growth temperature of 37 ◦C (Rahman et al., 2005)",2 观察性数据,Observational,2 间接数据支持,Indirect empirical support,1 促进AMR,Promoting AMR,2 观察累积,Observational cumulative/seasonal,3 人造环境/污染水体（文段暗示）,Built or engineered environment,2026-01-05
EVID_038-M1,38,1,Yu (2023),Metagenomics reveals the response of antibiotic resistance genes to elevated temperature in the Yellow River,Results-p.5-para.1,1-Results实验数据,Results,1-直接生物学效应,Direct biological mechanisms,1h-其他直接生物学,可删除,温度-年均温升高,环境微生物群落,耐药基因丰度增加；耐药基因多样性增加（下降）,温度升高→（未明示具体中介过程）→ARG多样性下降且ARG丰度上升,"With the gradual increase of water temperature, ARG diversity had a significant decline trend by regression analysis (Fig. 1C, regression slope= 4). A total of 16 types of ARGs had a significant decrease in diver- sity with elevated temperature; among these ARGs, multidrug resistance genes had maximum reduction (regression slope = 4), and cephalosporin
resistance genes had minimum reduction (regression slope = 0.090, Fig. S2). The order of the regression slope for ARG diversity change is in Fig. 4A. ARG abundance ranged from 13,621 to 46,503 TPM abundance per sample. ARG abundance had a remarkable increase with water temperature (Fig. 1D). For each increment of 1 °C in water temperature, the ARG abundance increased by 2133 TPM abundance. After fitting the linear regression between abundance of29 ARG types and temperature, the abundance of20 types ofARGs significantly increasedwith temperature. Among these ARGs, multidrug resistance genes had the maximum increase, for each 1 °C increase in water temperature, multidrug resistance genes increased by 889 TPM abundance;",1-实验室测量,Experimental,1-直接实验验证,Direct empirical support,3-双向作用,Bidirectional or mixed,1-实验瞬时,Experimental/short-term,1-实验室/体外,Laboratory/in vitro,2026-01-05
EVID_038-M2,38,2,Yu (2023),Metagenomics reveals the response of antibiotic resistance genes to elevated temperature in the Yellow River,Discussion-p.8-4.1para.1,3-Discussion数据解释,Discussion interpretation,1-直接生物学效应,Direct biological mechanisms,1f-其他直接生物学效应（温度-细胞损伤/存活）,1h-其他直接生物学-膜通透性,温度-升高,,ARG谱系改变,温度升高→改变细胞膜通透性、蛋白结构和代谢酶活性导致部分敏感微生物无法存活→群落中携ARG的微生物减少→ARG多样性显著下降,"High temperature can affect the permeability of cell membranes, denature protein structures, and inactivate metabolic enzymes, resulting in the inability of some sensitive microorganisms to survive (Cruz-Paredes et al., 2021; D'Alo et al., 2021). Thus, it is not surprising that temperature could also change the microbiota and related ARG
profiles. ARG diversity decreased significantly with elevated temperature. The growth of microbes is temperature-dependent (Cruz-Paredes et al., 2021), and it could be promoted bywarmer temperature until their optimum temperature is reached after which growth will slow down (BÁRcenas Moreno et al., 2009). The decrease of ARG diversity may result from the death ofmicrobes that cannot tolerate high temperature.",5-理论推测,Theoretical/projection,4-文献综述总结,Review-based support,4-不确定,Uncertain,4-未明确/理论,Conceptual or unclear,2-自然环境,Natural environment,2026-01-05
EVID_038-M3,38,3,Yu (2023),Metagenomics reveals the response of antibiotic resistance genes to elevated temperature in the Yellow River,Discussion-p.8-4.1para.1,4-Discussion理论推测,Discussion theoretical interpretation,1-直接生物学效应,Direct biological mechanisms,1h-其他直接生物学（应激交叉耐受）,1h-其他直接生物学-应激与交叉耐受,温度-升高,,抗生素耐受/耐药水平升高,温度升高→诱导温度应激反应并与抗生素应激通路共用（交叉耐受）→微生物热适应同时导致更高水平的抗生素耐受/耐药→AMR水平升高,"Elevated tempera-
ture remarkably increased ARG abundance, which is consistent with a previ-
ous warming experiment (Li et al., 2022). This can be ascribed to the
following reasons: (i) Bacterial hosts that carry some ARGs were enriched
as temperature increased. Proteobacteria, the primary ARG host, had a sig-
nificant rise in relative abundance with increased temperature (Fig. S8d).
(ii) The cell or organism can co-opt similar pathways to respond to multiple
stressors (Dragosits et al., 2013). For instance, temperature stress responses
have been co-opted to deal with antibiotic stress (Cruz-Loya et al., 2019).
This phenomenon may drive thermal adaptation in microorganisms, and
simultaneously cause high levels ofantibiotic resistance.",5-理论推测,Theoretical/projection,4-文献综述总结,Review-based support,1-促进AMR,Promoting AMR,4-未明确/理论,Conceptual or unclear,2-自然环境,Natural environment,2026-01-05
EVID_038-M4,38,4,Yu (2023),Metagenomics reveals the response of antibiotic resistance genes to elevated temperature in the Yellow River,Discussion-p.8-4.1para.2,3-Discussion数据解释,Discussion interpretation,1-直接生物学效应,Direct biological mechanisms,1c-水平基因转移/移动遗传元件（MGE）,1c-水平基因转移,温度-升高,,HGT下降（MGE丰度/多样性下降）,温度升高→高温环境下MGE丰度与多样性下降→提示水平基因转移(HGT)水平降低→ARG传播扩散能力下降,"However, in our study, both MGE abundance and diversity decreased with increased temperature, indicating low HGT in a high temperature environment. It may be that some bacteria die under high temperature, resulting in fewer MGE-carrying bacteria
and therefore less HGT.",1-实验室测量,Experimental,2-间接数据支持,Indirect empirical support,2-抑制AMR,Suppressing AMR,2-观察累积,Observational cumulative/seasonal,2-自然环境,Natural environment,2026-01-05
EVID_038-M5,38,5,Yu (2023),Metagenomics reveals the response of antibiotic resistance genes to elevated temperature in the Yellow River,Discussion-p.11-4.3para.1,3-Discussion数据解释,Discussion interpretation,2-环境介导,Environment-mediated pathways,2a-微生物群落,2a-微生物群落,温度-年均温升高,环境微生物群落,耐药基因丰度增加,温度升高→ARG群落组装确定性增强→环境选择增强→ARG携带微生物累积→耐药基因丰度增加（推断）,"In particular, the rising water temperature elevated the deterministic process of ARG community. (p.11)",1-实验室测量,Experimental,2-间接数据支持,Indirect empirical support,4-不确定,Uncertain,1-实验瞬时,Experimental/short-term,1-实验室/体外,Laboratory/in vitro,2026-01-05
EVID_038-M6,38,6,Yu (2023),Metagenomics reveals the response of antibiotic resistance genes to elevated temperature in the Yellow River,Discussion-p.11-4.3para.1,4-Discussion理论推测,Discussion theoretical interpretation,2-环境介导,Environment-mediated pathways,2a-微生物群落,2a-微生物群落,温度-年均温升高,ARG携带微生物群落,耐药基因丰度增加,温度升高→不耐热微生物被淘汰→环境选择增强→ARG携带微生物累积→耐药基因丰度增加,"First, elevated temperature can eliminate microbes that cannot adapt to warming temperature, leading to selection for accumulated ARG-carrying microorganisms. (p.11)",5-理论推测,Theoretical/projection,3-理论推测,Theoretical support,1-促进AMR,Promoting AMR,1-实验瞬时,Experimental/short-term,1-实验室/体外,Laboratory/in vitro,2026-01-05
EVID_038-M7,38,7,Yu (2023),Metagenomics reveals the response of antibiotic resistance genes to elevated temperature in the Yellow River,Discussion-p.11-4.3para.1,3-Discussion数据解释,Discussion interpretation,1-直接生物学效应,Direct biological mechanisms,1h-其他直接生物学,可删除,温度-年均温升高,高风险ARG相关细菌/病原体（文中举例Staphylococcus haemolyticus等）,耐药基因丰度增加,温度升高→高风险ARG（Rank I/II）与温度呈显著正相关→高风险耐药基因丰度增加→耐药相关风险上升,"Linear regression analysis demonstrated that three Rank I ARGs (tetM, mecA and bacA) and one Rank II ARG (tetW), which pose the highest health threat to humans, had significant positive correlations with rising temperature. (p.11)",1-实验室测量,Experimental,2-间接数据支持,Indirect empirical support,1-促进AMR,Promoting AMR,1-实验瞬时,Experimental/short-term,1-实验室/体外,Laboratory/in vitro,2026-01-05
EVID_039-M1,39,1,Zeng (2023),The association between ambient temperature and antimicrobial resistance of Klebsiella pneumoniae in China: a difference-in-differences analysis,Discussion-p.5-para.2,3-Discussion数据解释,Discussion interpretation,1-直接生物学效应,Direct biological mechanisms,1a-生长代谢,1a-生长代谢,温度-年均温升高,Klebsiella pneumoniae,K. pneumoniae耐药性分布/传播↑（与温度正相关）,温度升高→细菌生长速率↑→抗生素选择与传播↑→K. pneumoniae耐药性↑,"Elevated temperatures may promote the growth of bacteria, accelerating antibiotic selection and transmission through food/agriculture and environmental sources (28, 29). (p.5)",5-理论推测,Theoretical/projection,3-理论推测,Theoretical support,正向（推测）,Promoting AMR,省级年度面板（2014–2020）,Observational cumulative/seasonal,中国31省（临床/医院耐药监测数据）,Other/unclear,2026-01-05
